UnitName,X,Y,Length (m),Width (m),ConfigFile,Label
Block_0,0,0,0.002,0.000125,,Si
Block_1,0,0.000125,0.001375,0.0005,,Si
Block_2,0.001375,0.000125,0.0005,0.0005,,Si
Block_3,0.001875,0.000125,0.000125,0.0005,,Si
Block_4,0,0.000625,0.002,0.000125,,Si
Block_5,0,0.00075,0.00075,0.0005,,Si
Block_6,0.00075,0.00075,0.0005,0.0005,,Si
Block_7,0.00125,0.00075,0.00075,0.0005,,Si
Block_8,0,0.00125,0.002,0.000125,,Si
Block_9,0,0.001375,0.001375,0.0005,,Si
Block_10,0.001375,0.001375,0.0005,0.0005,,Si
Block_11,0.001875,0.001375,0.000125,0.0005,,Si
Block_12,0,0.001875,0.002,0.000125,,Si
